room_id: 0, name: Room #0, students_count: 9
room_id: 1, name: Room #1, students_count: 7
room_id: 2, name: Room #2, students_count: 9
room_id: 3, name: Room #3, students_count: 5
room_id: 4, name: Room #4, students_count: 11
room_id: 5, name: Room #5, students_count: 9
room_id: 6, name: Room #6, students_count: 4
room_id: 7, name: Room #7, students_count: 10
room_id: 8, name: Room #8, students_count: 12
room_id: 9, name: Room #9, students_count: 7
room_id: 10, name: Room #10, students_count: 13
room_id: 11, name: Room #11, students_count: 12
room_id: 12, name: Room #12, students_count: 16
room_id: 13, name: Room #13, students_count: 10
room_id: 14, name: Room #14, students_count: 7
room_id: 15, name: Room #15, students_count: 9
room_id: 16, name: Room #16, students_count: 10
room_id: 17, name: Room #17, students_count: 9
room_id: 18, name: Room #18, students_count: 10
room_id: 19, name: Room #19, students_count: 13
room_id: 20, name: Room #20, students_count: 15
room_id: 21, name: Room #21, students_count: 15
room_id: 22, name: Room #22, students_count: 9
room_id: 23, name: Room #23, students_count: 16
room_id: 24, name: Room #24, students_count: 14
room_id: 25, name: Room #25, students_count: 4
room_id: 26, name: Room #26, students_count: 7
room_id: 27, name: Room #27, students_count: 6
room_id: 28, name: Room #28, students_count: 7
room_id: 29, name: Room #29, students_count: 12
room_id: 30, name: Room #30, students_count: 9
room_id: 31, name: Room #31, students_count: 13
room_id: 32, name: Room #32, students_count: 9
room_id: 33, name: Room #33, students_count: 9
room_id: 34, name: Room #34, students_count: 9
room_id: 35, name: Room #35, students_count: 14
room_id: 36, name: Room #36, students_count: 10
room_id: 37, name: Room #37, students_count: 12
room_id: 38, name: Room #38, students_count: 10
room_id: 39, name: Room #39, students_count: 12
room_id: 40, name: Room #40, students_count: 11
room_id: 41, name: Room #41, students_count: 15
room_id: 42, name: Room #42, students_count: 8
room_id: 43, name: Room #43, students_count: 9
room_id: 44, name: Room #44, students_count: 16
room_id: 45, name: Room #45, students_count: 10
room_id: 46, name: Room #46, students_count: 12
room_id: 47, name: Room #47, students_count: 9
room_id: 48, name: Room #48, students_count: 12
room_id: 49, name: Room #49, students_count: 3
room_id: 50, name: Room #50, students_count: 6
room_id: 51, name: Room #51, students_count: 15
room_id: 52, name: Room #52, students_count: 15
room_id: 53, name: Room #53, students_count: 9
room_id: 54, name: Room #54, students_count: 6
room_id: 55, name: Room #55, students_count: 9
room_id: 56, name: Room #56, students_count: 13
room_id: 57, name: Room #57, students_count: 9
room_id: 58, name: Room #58, students_count: 12
room_id: 59, name: Room #59, students_count: 9
room_id: 60, name: Room #60, students_count: 9
room_id: 61, name: Room #61, students_count: 11
room_id: 62, name: Room #62, students_count: 14
room_id: 63, name: Room #63, students_count: 9
room_id: 64, name: Room #64, students_count: 11
room_id: 65, name: Room #65, students_count: 16
room_id: 66, name: Room #66, students_count: 6
room_id: 67, name: Room #67, students_count: 10
room_id: 68, name: Room #68, students_count: 12
room_id: 69, name: Room #69, students_count: 12
room_id: 70, name: Room #70, students_count: 12
room_id: 71, name: Room #71, students_count: 10
room_id: 72, name: Room #72, students_count: 8
room_id: 73, name: Room #73, students_count: 20
room_id: 74, name: Room #74, students_count: 17
room_id: 75, name: Room #75, students_count: 7
room_id: 76, name: Room #76, students_count: 6
room_id: 77, name: Room #77, students_count: 9
room_id: 78, name: Room #78, students_count: 8
room_id: 79, name: Room #79, students_count: 6
room_id: 80, name: Room #80, students_count: 7
room_id: 81, name: Room #81, students_count: 12
room_id: 82, name: Room #82, students_count: 15
room_id: 83, name: Room #83, students_count: 11
room_id: 84, name: Room #84, students_count: 11
room_id: 85, name: Room #85, students_count: 6
room_id: 86, name: Room #86, students_count: 9
room_id: 87, name: Room #87, students_count: 13
room_id: 88, name: Room #88, students_count: 9
room_id: 89, name: Room #89, students_count: 7
room_id: 90, name: Room #90, students_count: 11
room_id: 91, name: Room #91, students_count: 10
room_id: 92, name: Room #92, students_count: 5
room_id: 93, name: Room #93, students_count: 12
room_id: 94, name: Room #94, students_count: 11
room_id: 95, name: Room #95, students_count: 8
room_id: 96, name: Room #96, students_count: 9
room_id: 97, name: Room #97, students_count: 5
room_id: 98, name: Room #98, students_count: 11
room_id: 99, name: Room #99, students_count: 8
room_id: 100, name: Room #100, students_count: 9
room_id: 101, name: Room #101, students_count: 10
room_id: 102, name: Room #102, students_count: 5
room_id: 103, name: Room #103, students_count: 12
room_id: 104, name: Room #104, students_count: 12
room_id: 105, name: Room #105, students_count: 5
room_id: 106, name: Room #106, students_count: 9
room_id: 107, name: Room #107, students_count: 12
room_id: 108, name: Room #108, students_count: 10
room_id: 109, name: Room #109, students_count: 7
room_id: 110, name: Room #110, students_count: 9
room_id: 111, name: Room #111, students_count: 10
room_id: 112, name: Room #112, students_count: 11
room_id: 113, name: Room #113, students_count: 9
room_id: 114, name: Room #114, students_count: 11
room_id: 115, name: Room #115, students_count: 9
room_id: 116, name: Room #116, students_count: 14
room_id: 117, name: Room #117, students_count: 12
room_id: 118, name: Room #118, students_count: 10
room_id: 119, name: Room #119, students_count: 8
room_id: 120, name: Room #120, students_count: 12
room_id: 121, name: Room #121, students_count: 10
room_id: 122, name: Room #122, students_count: 10
room_id: 123, name: Room #123, students_count: 12
room_id: 124, name: Room #124, students_count: 14
room_id: 125, name: Room #125, students_count: 8
room_id: 126, name: Room #126, students_count: 11
room_id: 127, name: Room #127, students_count: 11
room_id: 128, name: Room #128, students_count: 13
room_id: 129, name: Room #129, students_count: 8
room_id: 130, name: Room #130, students_count: 10
room_id: 131, name: Room #131, students_count: 8
room_id: 132, name: Room #132, students_count: 11
room_id: 133, name: Room #133, students_count: 16
room_id: 134, name: Room #134, students_count: 4
room_id: 135, name: Room #135, students_count: 7
room_id: 136, name: Room #136, students_count: 16
room_id: 137, name: Room #137, students_count: 11
room_id: 138, name: Room #138, students_count: 13
room_id: 139, name: Room #139, students_count: 14
room_id: 140, name: Room #140, students_count: 5
room_id: 141, name: Room #141, students_count: 5
room_id: 142, name: Room #142, students_count: 11
room_id: 143, name: Room #143, students_count: 10
room_id: 144, name: Room #144, students_count: 11
room_id: 145, name: Room #145, students_count: 16
room_id: 146, name: Room #146, students_count: 12
room_id: 147, name: Room #147, students_count: 8
room_id: 148, name: Room #148, students_count: 7
room_id: 149, name: Room #149, students_count: 11
room_id: 150, name: Room #150, students_count: 6
room_id: 151, name: Room #151, students_count: 12
room_id: 152, name: Room #152, students_count: 6
room_id: 153, name: Room #153, students_count: 7
room_id: 154, name: Room #154, students_count: 3
room_id: 155, name: Room #155, students_count: 18
room_id: 156, name: Room #156, students_count: 9
room_id: 157, name: Room #157, students_count: 4
room_id: 158, name: Room #158, students_count: 7
room_id: 159, name: Room #159, students_count: 7
room_id: 160, name: Room #160, students_count: 10
room_id: 161, name: Room #161, students_count: 15
room_id: 162, name: Room #162, students_count: 10
room_id: 163, name: Room #163, students_count: 8
room_id: 164, name: Room #164, students_count: 8
room_id: 165, name: Room #165, students_count: 10
room_id: 166, name: Room #166, students_count: 9
room_id: 167, name: Room #167, students_count: 7
room_id: 168, name: Room #168, students_count: 7
room_id: 169, name: Room #169, students_count: 14
room_id: 170, name: Room #170, students_count: 7
room_id: 171, name: Room #171, students_count: 6
room_id: 172, name: Room #172, students_count: 10
room_id: 173, name: Room #173, students_count: 10
room_id: 174, name: Room #174, students_count: 11
room_id: 175, name: Room #175, students_count: 13
room_id: 176, name: Room #176, students_count: 12
room_id: 177, name: Room #177, students_count: 6
room_id: 178, name: Room #178, students_count: 4
room_id: 179, name: Room #179, students_count: 10
room_id: 180, name: Room #180, students_count: 8
room_id: 181, name: Room #181, students_count: 7
room_id: 182, name: Room #182, students_count: 6
room_id: 183, name: Room #183, students_count: 7
room_id: 184, name: Room #184, students_count: 6
room_id: 185, name: Room #185, students_count: 8
room_id: 186, name: Room #186, students_count: 6
room_id: 187, name: Room #187, students_count: 14
room_id: 188, name: Room #188, students_count: 12
room_id: 189, name: Room #189, students_count: 12
room_id: 190, name: Room #190, students_count: 9
room_id: 191, name: Room #191, students_count: 7
room_id: 192, name: Room #192, students_count: 8
room_id: 193, name: Room #193, students_count: 11
room_id: 194, name: Room #194, students_count: 8
room_id: 195, name: Room #195, students_count: 14
room_id: 196, name: Room #196, students_count: 13
room_id: 197, name: Room #197, students_count: 19
room_id: 198, name: Room #198, students_count: 13
